title,parent_link,link
Outdoor pots & accessories,https://www.ikea.com/nl/en/cat/outdoor-pots-accessories-31787/,https://www.ikea.com/nl/en/p/chilistran-hanging-planter-in-outdoor-white-70492264/
Outdoor pots & accessories,https://www.ikea.com/nl/en/cat/outdoor-pots-accessories-31787/,https://www.ikea.com/nl/en/p/doftrips-plant-support-set-of-2-in-outdoor-mixed-shapes-40612362/
Outdoor pots & accessories,https://www.ikea.com/nl/en/cat/outdoor-pots-accessories-31787/,https://www.ikea.com/nl/en/p/celosia-potted-plant-woolflowers-30623993/
Outdoor pots & accessories,https://www.ikea.com/nl/en/cat/outdoor-pots-accessories-31787/,https://www.ikea.com/nl/en/p/bladverk-plant-in-vase-hydroponic-60613879/
Outdoor pots & accessories,https://www.ikea.com/nl/en/cat/outdoor-pots-accessories-31787/,https://www.ikea.com/nl/en/p/bittergurka-watering-can-white-30368068/
Outdoor pots & accessories,https://www.ikea.com/nl/en/cat/outdoor-pots-accessories-31787/,https://www.ikea.com/nl/en/p/himalayamix-potted-plant-assorted-plants-with-foliage-60234534/
Outdoor pots & accessories,https://www.ikea.com/nl/en/cat/outdoor-pots-accessories-31787/,https://www.ikea.com/nl/en/p/euphorbia-acrurensis-potted-plant-desert-candle-cactus-40598691/
Outdoor pots & accessories,https://www.ikea.com/nl/en/cat/outdoor-pots-accessories-31787/,https://www.ikea.com/nl/en/p/odla-growing-media-clay-pebbles-60287103/
Outdoor pots & accessories,https://www.ikea.com/nl/en/cat/outdoor-pots-accessories-31787/,https://www.ikea.com/nl/en/p/asparen-greenhouse-transparent-white-20585623/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/kuddarna-bench-cushion-outdoor-light-grey-beige-70584174/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/kuddarna-chair-cushion-outdoor-light-grey-beige-00547222/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/istad-resealable-bag-patterned-red-pink-80525674/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/klosan-chair-cushion-outdoor-dark-blue-20583822/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/kalas-mug-mixed-colours-seasonal-edition-50620093/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/morum-rug-flatwoven-in-outdoor-beige-20203563/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/oringabborre-sealing-clip-set-of-9-multicolour-60556708/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/gullrismott-food-storage-bag-for-bread-60581798/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/strandon-folding-table-bright-yellow-00600460/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/lydersholm-rug-flatwoven-in-outdoor-medium-brown-50495391/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/froson-duvholmen-back-cushion-outdoor-beige-s79253103/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/kuddarna-chair-cushion-outdoor-light-grey-beige-00547236/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/gorsnygg-carrier-bag-large-light-beige-20504194/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/kalas-mug-mixed-colours-00461379/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/bevara-sealing-clip-anthracite-dark-yellow-90524179/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/kalas-plate-mixed-colours-80461380/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/kalas-bowl-mixed-colours-seasonal-edition-70620092/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/kalas-bowl-mixed-colours-20461378/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/kungsfors-net-bag-set-of-2-natural-20372834/
Outdoor accessories,https://www.ikea.com/nl/en/cat/outdoor-accessories-34203/,https://www.ikea.com/nl/en/p/gullrismott-food-storage-bag-for-potatoes-00581796/
